Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U2HE0205T,M4-CORE,16 23 40.067,-26 31 30.29,24,1995-04-05 12:37:17,1995-04-05 12:53:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 14:52:46,U2HE0205T,,,1.044
U2HE0207T,M4-CORE,16 23 40.069,-26 31 30.39,24,1995-04-05 14:14:17,1995-04-05 14:30:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:01:46,U2HE0207T,,,1.045
U2HE0206T,M4-CORE,16 23 40.069,-26 31 30.33,24,1995-04-05 12:59:17,1995-04-05 13:15:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 14:57:13,U2HE0206T,,,1.045
J8FE01RJQ,NGC6121-CALIB,16 23 40.540,-26 30 45.40,5,2002-07-14 04:31:46,2002-07-14 04:37:47,360.000,ACS   ,WFC,F775W;CLEAR2L,7693.320,9578,2002-07-14 13:14:42,J8FE01RJQ,,,1.386
J8FE02B8Q,NGC6121-CALIB,16 23 40.540,-26 30 45.40,5,2003-01-19 19:55:02,2003-01-19 20:01:03,360.000,ACS   ,WFC,F775W;CLEAR2L,7693.394,9578,2003-01-20 16:01:18,J8FE02B8Q,,,1.386
J8FE03WWQ,NGC6121-CALIB,16 23 40.540,-26 30 45.40,5,2003-06-19 05:46:46,2003-06-19 05:52:47,360.000,ACS   ,WFC,F775W;CLEAR2L,7693.453,9578,2003-06-19 11:37:50,J8FE03WWQ,,,1.386
IBJ202010,M4FROMGO10146,16 23 41.514,-26 30 49.91,28,2011-08-28 10:53:53,2011-08-28 12:28:28,100.000,WFC3  ,UVIS-CENTER,F814W,8048.100,12311,2012-08-28 14:39:58,IBJ202010,,,1.536
IBJ202020,M4FROMGO10146,16 23 41.514,-26 30 49.91,28,2011-08-28 11:44:56,2011-08-28 12:25:08,1900.000,WFC3  ,UVIS-CENTER,F275W,2707.200,12311,2012-08-28 14:43:14,IBJ202020,,,1.536
IBJ201010,M4FROMGO10146,16 23 42.243,-26 30 51.73,28,2011-02-23 09:38:13,2011-02-23 12:51:24,100.000,WFC3  ,UVIS-CENTER,F814W,8048.100,12311,2012-02-23 17:43:09,IBJ201010,,,1.671
IBJ201020,M4FROMGO10146,16 23 42.243,-26 30 51.73,28,2011-02-23 09:41:39,2011-02-23 12:48:04,1900.000,WFC3  ,UVIS-CENTER,F275W,2707.200,12311,2012-02-23 18:39:44,IBJ201020,,,1.671
U5DZ0205R,M4-NEAR,16 23 42.644,-26 30 47.97,4,2000-04-27 20:14:14,2000-04-27 20:14:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 05:33:12,U5DZ0205R,,,1.778
